Returns,Price
374.3873425,182.7585815
364.2708362,176.9848421
374.0097695,180.8712295
387.2565211,186.4217384
386.1554466,185.0253536
403.0527186,192.2271088
406.8385991,193.1176671
390.3112248,184.3549108
400.628813,188.2989033
391.7438609,183.1913381
403.7260602,187.8507377
392.7973879,181.8293207
383.0405901,176.3812512
395.4062199,181.148312
395.932685,180.4673033
388.0149027,175.9216701
366.3448095,165.1445922
353.4767839,158.3967486
359.4415058,160.1173373
384.1343045,170.1695468
378.2173769,166.5956252
372.0985024,162.9422665
375.0658079,163.2667434
380.7586719,164.7641174
374.2094473,160.9677091
383.4681848,164.017395
395.4744786,168.2166021
392.1677329,165.9030398
398.9522645,167.8639121
408.8413528,171.1129247
421.1135938,175.3671638
446.79035,185.1971618
448.472994,185.0407209
476.5363122,195.7850208
503.4491438,206.0367575
489.8647042,199.709208
503.442871,204.4639578
515.0341591,208.395957
512.3468768,206.5293207
513.5433461,206.2285318
518.0860219,207.2556142
550.6849255,219.4951784
554.0582397,220.0542677
553.2646117,218.9687317
569.6204324,224.6774137
586.017265,230.3860957
602.4542713,236.0947777
581.5740555,227.173617
563.5539077,219.4055547
554.8027218,215.2699244
569.7201386,220.3213847
584.7083668,225.372845
596.7427739,229.2585837
588.4524239,225.3035535
583.0481293,222.4468021
563.7401744,214.2939558
565.3194622,214.0901243
542.0207213,204.4639578
548.0691675,205.9441515
534.5433061,200.0707139
534.553786,199.2980246
539.7379319,200.4503547
521.3803681,192.8575383
531.6258471,195.8686463
547.3863606,200.8926912
538.9037923,196.9931594
548.4934754,199.7269695
562.336533,204.0012821
578.3586612,209.0527424
570.512611,205.4700505
554.3936668,198.9317915
545.8414744,195.1353832
578.4360532,206.0367575
594.2333719,210.9066281
591.1483503,209.0480625
592.1611237,208.6452724
625.5743559,219.6414079
638.3621776,223.357146
627.5871117,218.8156883
638.0794604,221.7057068
647.6345894,224.2696507
638.0348785,220.1920207
634.3011929,218.1532057
625.1991892,214.2843338
650.2648355,222.1185666
645.2287076,219.6414079
642.6008964,217.9899687
658.2196682,222.5314264
680.0456517,229.1628067
677.4238861,227.5317547
674.7935066,225.9007027
637.5778791,212.7211561
621.7300203,206.7212992
595.8246028,197.3955263
567.941456,187.4283431
556.8881015,183.0510357
595.3355898,194.9504089
597.6817752,194.9891467
581.9293195,189.129161
596.4043507,193.1212137
603.302279,194.6339598
607.8206391,195.353199
607.5011552,194.5029516
630.2134626,201.0271596
692.2357003,220.0542677
694.6167487,220.0542677
695.271427,219.4951784
718.8885834,226.1845552
753.712939,236.3488967
757.6262731,236.7778421
788.9262668,245.7341814
800.8619592,248.6087007
803.5973988,248.6087007
802.0344475,247.2696951
783.6492558,240.7623646
787.3561329,241.0672957
770.4858836,235.0620606
788.7251685,239.7804596
768.7380785,232.8739321
753.6769537,227.4857439
742.2649374,223.2426761
722.9885219,216.6531553
716.4557243,213.8815437
728.0705758,216.5221537
674.7474823,199.824138
662.0812622,195.2085453
619.142438,181.6582462
632.3363544,184.599221
653.6171944,189.9154393
667.3751994,193.0254147
698.9919284,201.2554138
686.8645964,196.8338187
694.8279715,198.1727926
717.7070575,203.7549857
763.8014584,215.8836989
777.3034698,218.7557659
751.6952608,210.6182428
744.719301,207.7461759
732.5175157,203.4380755
741.8006026,205.1505678
746.1503985,205.5125256
746.5790234,204.7785178
749.6367289,204.7785178
756.5578063,205.8314646
750.8147114,203.4380755
743.2579822,200.5660085
746.2883698,200.5660085
748.8097388,200.4664592
781.9535839,208.5790217
789.2355915,209.7775392
806.2638912,213.5559615
832.4246867,219.7332584
840.4621902,221.1094584
831.0651138,217.8983252
805.8663447,210.5585921
771.9634961,200.9638215
776.7872205,201.4756384
824.1600788,213.011632
814.0895835,209.6608872
836.5401483,214.6871173
848.1586875,216.9055862
848.3710315,216.1883848
796.3984867,202.1761747
754.0701043,190.6661449
796.6638498,200.6748665
793.5067654,199.1441586
826.3103539,206.6658774
798.9553308,199.1164389
825.377284,204.9727681
820.4876082,203.0298983
825.3948307,203.5156157
814.7224434,200.1447
834.1959982,204.177919
876.1102579,213.6862044
918.1717574,223.1944899
938.3107129,227.3719667
958.9133895,231.6666275
944.2936089,227.4268331
913.9273207,219.4055547
936.5298243,224.1239538
965.146561,230.2578725
952.5810322,226.5494932
912.5641527,216.3152245
899.9174527,212.5936723
898.7879297,211.6448945
1002.745963,235.3881798
1024.302484,239.6946706
1065.861003,248.6596287
1067.12507,248.1877888
1048.134233,242.9975499
1086.096027,251.0188282
1140.574683,262.8346276
1230.757467,282.837971
1245.630246,285.4953638
1266.727985,289.5674054
1268.538892,289.2252029
1219.014324,277.1741528
1178.953563,267.3129895
1206.978434,272.9219585
1224.9234,276.2408157
1169.338955,262.9916858
1152.611391,258.5217428
1163.2353,260.2024053
1074.058085,239.5580945
1091.565053,242.7415908
1101.335781,244.1771496
1113.639351,246.1431492
1131.429117,249.2887486
1107.951821,243.2852211
1092.150794,238.9491187
1082.858606,236.0349992
1115.402354,242.2112227
1080.120469,233.6182586
1137.523933,245.0655637
1231.095213,264.2304248
1326.311932,283.6346752
1352.867431,288.2884419
1409.548459,299.3233472
1465.039304,310.0577018
1613.088961,340.322048
1536.93128,323.1805198
1695.164286,355.3731459
1566.834709,327.3978129
1574.052732,327.841453
1552.197156,322.2320809
1539.855572,318.60697
1559.09939,321.5331236
1520.837965,312.5939355
1577.248986,323.1248717
1596.053277,325.9104309
1603.239414,326.308368
1643.452076,333.4335312
1625.460503,328.7334946
1602.210409,322.9912382
1643.580205,330.2883055
1712.651408,343.1107278
1701.805463,339.8897097
1545.398285,307.6694127
1541.101014,305.7957976
1493.920006,295.4246049
1557.824834,307.0586033
1553.732322,305.2438361
1548.98441,303.2632842
1491.100384,290.8775313
1501.803281,291.8826885
1424.407717,275.7523294
1364.589536,263.0784759
1326.462373,254.6292401
1285.255285,245.6276127
1263.807913,240.4191619
1288.688144,244.0243908
1354.182778,255.293033
1351.020718,253.60007
1290.736395,241.2224132
1307.067931,243.2111487
1360.463759,252.0815067
1368.941097,252.573016
1376.838834,252.9615898
1439.700726,263.4530843
1476.888242,269.2233746
1530.023536,277.8970827
1625.418343,294.2216381
1680.360789,303.1980178
1702.128008,306.166909
1744.624471,312.8469143
1826.600781,326.5780363
1905.336067,339.6698913
1887.733639,335.541307
1821.124762,322.6946999
1848.263091,326.4911081
1912.05145,336.7414103
1966.388365,345.299779
2001.336313,350.40848
2035.427332,355.3438107
2007.425078,349.4283634
2039.782978,354.0402802
2116.32473,366.2869566
2107.420942,363.6891768
2062.037919,354.782503
2040.348055,349.9580548
1970.58664,336.8941457
2002.87521,341.2979907
2025.349359,343.954586
2133.11801,361.0913969
2181.360485,368.0880481
2076.987922,349.3142807
2103.839601,352.6636129
2069.575617,345.7487548
2039.454695,339.5230755
1940.935907,321.9436096
1776.056651,293.3945226
1791.890498,294.8000053
1701.167658,278.6796659
1636.873275,266.9554072
1706.873618,277.1705375
1586.419155,256.3997724
1577.114129,253.6757377
1398.86225,223.787314
1380.722648,219.6066786
1491.237447,235.8679161
1580.230929,248.6231008
1547.901529,242.2114773
1619.628784,252.1201286
1696.388035,262.7782846
1796.033259,276.9334684
1806.625854,277.2964219
1860.598328,284.3339263
1948.563674,296.5401807
1935.39239,293.3091134
1945.971836,293.7087693
2063.458412,310.2603155
2095.686259,313.9471701
2132.904764,318.3418413
2057.778531,305.9507305
2093.828628,310.122786
2150.542289,317.3500503
2207.325096,324.5590112
2231.538298,326.9515696
2271.449816,331.6223063
2311.070363,336.2322969
2298.505294,333.2324157
2270.698847,328.0432179
2245.869217,323.3003913
2258.709559,323.9954198
2239.88827,320.1245525
2168.13259,308.6915328
2187.918901,310.3466597
2123.399358,300.0372954
2136.611854,300.718079
2061.919665,289.0013321
1966.329296,274.3924736
2042.489431,283.7910536
2085.483435,288.5167732
2256.892511,310.9376152
2310.593224,317.009546
2255.78592,308.156433
2320.385314,315.6475286
2445.879188,331.3425567
2401.949024,324.0296373
2480.045399,333.158944
2543.961799,340.3390936
2605.458766,347.1602358
2577.238912,342.0091231
2387.578085,315.4929057
2244.229397,295.2172679
2267.310187,296.9197896
2393.154327,312.052416
2439.458969,316.7285404
2427.08901,313.7726608
2391.365874,307.8159287
2420.639425,310.2703671
2432.676007,310.5360106
2440.16344,310.2121983
2474.510855,313.2842534
2487.335434,313.6112725
2529.648387,317.6598816
2528.012838,316.1785071
2533.104331,315.5371714
2515.067118,312.009825
2458.813418,303.735952
2424.552986,298.2211071
2348.948646,287.6390679
2314.905912,282.1877143
2322.797637,281.8670464
2293.348236,276.9975232
2166.405294,260.3823
2184.137974,261.2438924
2253.138687,268.2273258
2262.284564,268.0590885
2201.285098,259.574217
2134.63386,250.4701708
2164.014907,252.660618
2263.49051,263.0310165
2327.100503,269.1796121
2293.826808,264.1007515
2272.206838,260.3823
2273.608335,259.3393197
2272.912617,258.0696045
2135.898341,241.347456
2104.015463,236.6151529
2113.946525,236.6151529
2144.837594,238.9578772
